Municipio;DATA;indice de isolamento
Estado de Sao Paulo;05/03/2020;30%
Estado de Sao Paulo;06/03/2020;29%
Estado de Sao Paulo;12/03/2020;28%
Estado de Sao Paulo;13/03/2020;30%
Estado de Sao Paulo;17/03/2020;38%
Estado de Sao Paulo;18/03/2020;40%
Estado de Sao Paulo;19/03/2020;42%
Estado de Sao Paulo;20/03/2020;44%
Estado de Sao Paulo;21/03/2020;56%
Estado de Sao Paulo;22/03/2020;56%
Estado de Sao Paulo;23/03/2020;52%
Estado de Sao Paulo;24/03/2020;54%
Estado de Sao Paulo;25/03/2020;54%
Estado de Sao Paulo;26/03/2020;54%
Estado de Sao Paulo;27/03/2020;53%
Estado de Sao Paulo;28/03/2020;56%
Estado de Sao Paulo;29/03/2020;59%
Estado de Sao Paulo;30/03/2020;55%
Estado de Sao Paulo;31/03/2020;55%
Estado de Sao Paulo;01/04/2020;55%
Estado de Sao Paulo;02/04/2020;55%
Estado de Sao Paulo;03/04/2020;54%
Estado de Sao Paulo;04/04/2020;57%
Estado de Sao Paulo;05/04/2020;59%
Estado de Sao Paulo;06/04/2020;52%
Estado de Sao Paulo;07/04/2020;51%
Estado de Sao Paulo;08/04/2020;50%
Estado de Sao Paulo;09/04/2020;47%
Estado de Sao Paulo;10/04/2020;57%
Estado de Sao Paulo;11/04/2020;55%
Estado de Sao Paulo;12/04/2020;59%
Estado de Sao Paulo;13/04/2020;50%
Estado de Sao Paulo;14/04/2020;50%
Estado de Sao Paulo;15/04/2020;50%
Estado de Sao Paulo;16/04/2020;49%
Estado de Sao Paulo;17/04/2020;49%
Estado de Sao Paulo;18/04/2020;54%
Estado de Sao Paulo;19/04/2020;59%
Estado de Sao Paulo;20/04/2020;51%
Estado de Sao Paulo;21/04/2020;57%
Estado de Sao Paulo;22/04/2020;48%
Estado de Sao Paulo;23/04/2020;48%
Estado de Sao Paulo;24/04/2020;48%
Estado de Sao Paulo;25/04/2020;52%
Estado de Sao Paulo;26/04/2020;58%
Estado de Sao Paulo;27/04/2020;48%
Estado de Sao Paulo;28/04/2020;48%
Estado de Sao Paulo;29/04/2020;47%
Estado de Sao Paulo;30/04/2020;46%
Estado de Sao Paulo;01/05/2020;56%
Estado de Sao Paulo;02/05/2020;53%
Estado de Sao Paulo;03/05/2020;59%
Estado de Sao Paulo;04/05/2020;47%
Estado de Sao Paulo;05/05/2020;47%
Estado de Sao Paulo;06/05/2020;47%
Estado de Sao Paulo;07/05/2020;47%
Estado de Sao Paulo;08/05/2020;46%
Estado de Sao Paulo;09/05/2020;50%
Estado de Sao Paulo;10/05/2020;53%
Estado de Sao Paulo;11/05/2020;48%
Estado de Sao Paulo;12/05/2020;47%
Estado de Sao Paulo;13/05/2020;47%
Estado de Sao Paulo;14/05/2020;48%
Estado de Sao Paulo;15/05/2020;47%
Estado de Sao Paulo;16/05/2020;50%
Estado de Sao Paulo;17/05/2020;54%
Estado de Sao Paulo;18/05/2020;49%
Estado de Sao Paulo;19/05/2020;48%
Estado de Sao Paulo;20/05/2020;49%
Estado de Sao Paulo;21/05/2020;49%
Estado de Sao Paulo;22/05/2020;48%
Estado de Sao Paulo;23/05/2020;51%
Estado de Sao Paulo;24/05/2020;55%
Estado de Sao Paulo;25/05/2020;55%
Estado de Sao Paulo;26/05/2020;47%
Estado de Sao Paulo;27/05/2020;48%
Estado de Sao Paulo;28/05/2020;48%
Estado de Sao Paulo;29/05/2020;47%
Estado de Sao Paulo;30/05/2020;51%
Estado de Sao Paulo;31/05/2020;53%
Estado de Sao Paulo;01/06/2020;47%
Estado de Sao Paulo;02/06/2020;48%
Estado de Sao Paulo;03/06/2020;47%
Estado de Sao Paulo;04/06/2020;47%
Estado de Sao Paulo;05/06/2020;46%
Estado de Sao Paulo;06/06/2020;49%
Estado de Sao Paulo;07/06/2020;52%
Estado de Sao Paulo;08/06/2020;47%
Estado de Sao Paulo;09/06/2020;47%
Estado de Sao Paulo;10/06/2020;46%
Estado de Sao Paulo;11/06/2020;48%
Estado de Sao Paulo;12/06/2020;46%
Estado de Sao Paulo;13/06/2020;48%
Estado de Sao Paulo;14/06/2020;52%
Estado de Sao Paulo;15/06/2020;47%
Estado de Sao Paulo;16/06/2020;46%
Estado de Sao Paulo;17/06/2020;46%
Estado de Sao Paulo;18/06/2020;45%
Estado de Sao Paulo;19/06/2020;45%
Estado de Sao Paulo;20/06/2020;47%
Estado de Sao Paulo;21/06/2020;52%
Estado de Sao Paulo;22/06/2020;46%
Estado de Sao Paulo;23/06/2020;46%
Estado de Sao Paulo;24/06/2020;46%
Estado de Sao Paulo;25/06/2020;45%
Estado de Sao Paulo;26/06/2020;45%
Estado de Sao Paulo;27/06/2020;48%
Estado de Sao Paulo;28/06/2020;52%
Estado de Sao Paulo;29/06/2020;46%
Estado de Sao Paulo;30/06/2020;46%
Estado de Sao Paulo;01/07/2020;45%
Estado de Sao Paulo;02/07/2020;45%
Estado de Sao Paulo;03/07/2020;45%
Estado de Sao Paulo;04/07/2020;47%
Estado de Sao Paulo;05/07/2020;51%
Estado de Sao Paulo;06/07/2020;45%
Estado de Sao Paulo;07/07/2020;45%
Estado de Sao Paulo;08/07/2020;45%
