Municipio;DATA;indice de isolamento
Sorocaba;01/04/2020;53%
Sorocaba;02/04/2020;52%
Sorocaba;03/04/2020;52%
Sorocaba;04/04/2020;54%
Sorocaba;05/03/2020;31%
Sorocaba;05/04/2020;56%
Sorocaba;06/03/2020;29%
Sorocaba;06/04/2020;49%
Sorocaba;07/04/2020;48%
Sorocaba;08/04/2020;48%
Sorocaba;09/04/2020;45%
Sorocaba;10/04/2020;56%
Sorocaba;11/04/2020;53%
Sorocaba;12/03/2020;28%
Sorocaba;12/04/2020;57%
Sorocaba;13/03/2020;30%
Sorocaba;17/03/2020;36%
Sorocaba;18/03/2020;37%
Sorocaba;19/03/2020;40%
Sorocaba;20/03/2020;40%
Sorocaba;21/03/2020;52%
Sorocaba;22/03/2020;52%
Sorocaba;23/03/2020;49%
Sorocaba;24/03/2020;51%
Sorocaba;25/03/2020;52%
Sorocaba;26/03/2020;51%
Sorocaba;27/03/2020;51%
Sorocaba;28/03/2020;54%
Sorocaba;29/03/2020;56%
Sorocaba;30/03/2020;53%
Sorocaba;31/03/2020;53%
Sorocaba;13/04/2020;48%
Sorocaba;14/04/2020;49%
Sorocaba;15/04/2020;48%
Sorocaba;16/04/2020;47%
Sorocaba;17/04/2020;46%
Sorocaba;18/04/2020;51%
Sorocaba;19/04/2020;57%
Sorocaba;20/04/2020;48%
Sorocaba;21/04/2020;55%
Sorocaba;22/04/2020;46%
Sorocaba;23/04/2020;46%
Sorocaba;24/04/2020;45%
Sorocaba;25/04/2020;50%
Sorocaba;26/04/2020;57%
Sorocaba;27/04/2020;46%
Sorocaba;28/04/2020;45%
Sorocaba;29/04/2020;44%
Sorocaba;30/04/2020;44%
Sorocaba;01/05/2020;54%
Sorocaba;02/05/2020;50%
Sorocaba;03/05/2020;56%
Sorocaba;04/05/2020;43%
Sorocaba;05/05/2020;44%
Sorocaba;06/05/2020;44%
Sorocaba;07/05/2020;44%
Sorocaba;08/05/2020;42%
Sorocaba;09/05/2020;47%
Sorocaba;10/05/2020;51%
Sorocaba;11/05/2020;44%
Sorocaba;12/05/2020;44%
Sorocaba;13/05/2020;44%
Sorocaba;14/05/2020;45%
Sorocaba;15/05/2020;42%
Sorocaba;16/05/2020;45%
Sorocaba;17/05/2020;48%
Sorocaba;18/05/2020;44%
Sorocaba;19/05/2020;43%
Sorocaba;20/05/2020;43%
Sorocaba;21/05/2020;43%
Sorocaba;22/05/2020;42%
Sorocaba;23/05/2020;46%
Sorocaba;24/05/2020;50%
Sorocaba;25/05/2020;51%
Sorocaba;26/05/2020;47%
Sorocaba;27/05/2020;48%
Sorocaba;28/05/2020;48%
Sorocaba;29/05/2020;47%
Sorocaba;30/05/2020;51%
Sorocaba;31/05/2020;53%
Sorocaba;01/06/2020;42%
Sorocaba;02/06/2020;42%
Sorocaba;03/06/2020;42%
Sorocaba;04/06/2020;41%
Sorocaba;05/06/2020;41%
Sorocaba;06/06/2020;45%
