data;bairro;estado;cidade;Pais;percent;postal_code;long;lat
30/06/2020;Jardim Vera Cruz;SP;Sorocaba;Brasil;6,88;18050-000;-47,489987;-23,527408
30/06/2020;Vila Jardini;SP;Sorocaba;Brasil;6,76;18044-000;-47,4765701;-23,5105847
30/06/2020;Jardim Rodrigo;SP;Sorocaba;Brasil;5,51;18071-400;-47,507144;-23,4723319
30/06/2020;Vila Haro;SP;Sorocaba;Brasil;4,79;18015-005;-47,429667;-23,5013429
30/06/2020;Júlio de Mesquita Filho;SP;Sorocaba;Brasil;4,79;18053-000;-47,5160192;-23,5031298
30/06/2020;Jardim Maria do Carmo;SP;Sorocaba;Brasil;3,74;18081-085;-47,4507785;-23,4762735
30/06/2020;Aparecidinha;SP;Sorocaba;Brasil;7,30;18087-280;-47,374718;-23,4436886
30/06/2020;Parque São Bento;SP;Sorocaba;Brasil;3,82;18072-120;-47,5101458;-23,4343404
30/06/2020;Wanel Ville ;SP;Sorocaba;Brasil;3,77;18055-710;-47,5059385;-23,4947667
30/06/2020;Jardim Vergueiro;SP;Sorocaba;Brasil;3,59;18030-005;-47,4530326;-23,5180018
30/06/2020;Jardim São Guilherme;SP;Sorocaba;Brasil;3,37;18074-651;-47,4903572;-23,4472266
30/06/2020;Vila Hortência;SP;Sorocaba;Brasil;3,48;18020-268;-47,4401462;-23,505699
30/06/2020;Parque das Laranjeiras ;SP;Sorocaba;Brasil;6,62;18077-414;-47,4525603;-23,5015299
30/06/2020;Vila Mineirão ;SP;Sorocaba;Brasil;3,34;18076-483;-47,4655351;-23,4660702
30/06/2020;Brigadeiro Tobias ;SP;Sorocaba;Brasil;1,68;18108-185;-47,4525603;-23,5015299
30/06/2020;Vila Nova Sorocaba;SP;Sorocaba;Brasil;2,51;18070-679;-47,4872237;-23,4674196
30/06/2020;Jardim Santa Catarina;SP;Sorocaba;Brasil;2,82;18078-344;-47,4723067;-23,4349176
30/06/2020;Parque Vitoria Regia;SP;Sorocaba;Brasil;2,2;18078-344;-47,4723067;-23,4349176
30/06/2020;Vila Barão;SP;Sorocaba;Brasil;2,25;18061-250;-47,4852742;-23,4921436
30/06/2020;Éden;SP;Sorocaba;Brasil;3,05;18103-050;-47,422;-23,4211851
30/06/2020;Cajuru do Sul;SP;Sorocaba;Brasil;2,08;18105-000;-47,3903991;-23,4011671
30/06/2020;Vila Hortência;SP;Sorocaba;Brasil;2,28;18020-268;-47,4436841;-23,504813
30/06/2020;Vila Santana;SP;Sorocaba;Brasil;2,25;18080-704;-47,4623631;-23,4885056
30/06/2020;Jardim Maria Eugenia;SP;Sorocaba;Brasil;2,00;18074-530;-47,4920978;-23,4558695
30/06/2020;Jardim Simus;SP;Sorocaba;Brasil;2,03;18055-141;-47,4981097;-23,501766
30/06/2020;Vila Olimpia;SP;Sorocaba;Brasil;1,54;18075-130;-47,4711927;-23,4767702
30/06/2020;Parque das Paineiras;SP;Sorocaba;Brasil;1,85;18078-619;-47,4774429;-23,443
30/06/2020;Jardim Carandá;SP;Sorocaba;Brasil;0,91;18073-100;-47,5157757;-23,4196229
30/06/2020;Vila Sabiá ;SP;Sorocaba;Brasil;1,54;18022-160;-47,4726212;-23,4582631
30/06/2020;Jardim Nova Esperanca;SP;Sorocaba;Brasil;1,85;18061-456;-47,4948785;-23,4922409
30/06/2020;Vila Angélica;SP;Sorocaba;Brasil;1,14;18070-273;-47,4841836;-23,4823618
30/06/2020;Habiteto - Ana Paula Eleutério;SP;Sorocaba;Brasil;1,23;18079-728;-47,4842142;-23,4219111
